symptom,description
Fungal infection,Fungal infection is a skin condition caused by fungi leading to itching redness and irritation.
Allergy,Allergy is an immune system reaction to foreign substances causing sneezing itching rashes or swelling.
GERD,GERD is a digestive disorder where stomach acid frequently flows back into the food pipe causing heartburn.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced or blocked.
Drug Reaction,Drug reaction occurs when the body responds negatively to certain medications.
Peptic ulcer disease,Peptic ulcer disease involves sores in the stomach or intestine lining causing pain.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Hypertension,Hypertension is a condition where blood pressure remains consistently high.
Migraine,Migraine is a neurological condition causing severe headaches often with nausea and light sensitivity.
Common Cold,Common cold is a viral infection of the upper respiratory tract causing sneezing and congestion.
